app_key,app_display,surface_type,surface_name,file_path,function_name,function_kind,start_line,end_line,line_count,cyclomatic,loop_count,max_loop_depth,time_complexity,space_complexity,risk_level,risk_score,patterns,bound_controls,suggestions
apps/mobile,MyLife Hub Mobile,button-component,BackToHubButton,apps/mobile/components/BackToHubButton.tsx,BackToHubButton,function_declaration,10,24,15,1,0,0,O(1) (estimated),O(n) (estimated),low,2.35,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,button-component,BackToHubButton,apps/mobile/components/BackToHubButton.tsx,inline_L16,arrow_function,16,16,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:TouchableOpacity,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,BookGrid,apps/mobile/components/books/BookGrid.tsx,parseAuthors,function_declaration,6,8,3,2,0,0,O(1) (estimated),O(n) (estimated),low,2.7,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,BookGrid,apps/mobile/components/books/BookGrid.tsx,BookGrid,function_declaration,15,35,21,1,0,1,O(n) (estimated),O(n) (estimated),low,6.35,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,BookGrid,apps/mobile/components/books/BookGrid.tsx,inline_L18,arrow_function,18,32,15,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,BookGrid,apps/mobile/components/books/BookGrid.tsx,inline_L22,arrow_function,22,22,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:Pressable,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,BookList,apps/mobile/components/books/BookList.tsx,parseAuthors,function_declaration,6,8,3,2,0,0,O(1) (estimated),O(n) (estimated),low,2.7,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,BookList,apps/mobile/components/books/BookList.tsx,BookList,function_declaration,15,44,30,1,0,1,O(n) (estimated),O(n) (estimated),low,6.35,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,BookList,apps/mobile/components/books/BookList.tsx,inline_L18,arrow_function,18,41,24,2,0,0,O(1) (estimated),O(n) (estimated),low,2.7,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,BookList,apps/mobile/components/books/BookList.tsx,inline_L22,arrow_function,22,22,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:Pressable,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,parseAuthors,function_declaration,8,10,3,2,0,0,O(1) (estimated),O(n) (estimated),low,2.7,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,CurrentlyReading,function_declaration,12,69,58,2,0,1,O(n) (estimated),O(n) (estimated),low,7.5,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,inline_L18,arrow_function,18,21,4,1,0,1,O(n) (estimated),O(n) (estimated),low,6.35,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,inline_L19,arrow_function,19,19,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,inline_L22,arrow_function,22,22,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,inline_L40,arrow_function,40,66,27,3,0,0,O(1) (estimated),O(n) (estimated),low,3.05,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,CurrentlyReading,apps/mobile/components/books/CurrentlyReading.tsx,inline_L49,arrow_function,49,49,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:Pressable,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,createExpoAdapter,function_declaration,31,43,13,1,0,0,O(1) (estimated),O(n) (estimated),low,2.35,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,execute,method,33,35,3,2,0,0,O(1) (estimated),O(1) (estimated),low,2.2,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,query,method,36,38,3,2,0,0,O(1) (estimated),O(1) (estimated),low,2.2,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,transaction,method,39,41,3,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,useDatabase,function_declaration,66,72,7,2,0,0,O(1) (estimated),O(1) (estimated),low,2.2,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,DatabaseProvider,function_declaration,84,129,46,2,0,0,O(1) (estimated),O(n) (estimated),low,3.5,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,DatabaseProvider,apps/mobile/components/DatabaseProvider.tsx,inline_L87,arrow_function,87,114,28,5,2,1,O(n) (estimated),O(1) (estimated),low,7.25,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,ModuleCard,apps/mobile/components/ModuleCard.tsx,ModuleCard,function_declaration,16,38,23,1,0,0,O(1) (estimated),O(n) (estimated),low,2.35,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,ModuleCard,apps/mobile/components/ModuleCard.tsx,inline_L23,arrow_function,23,23,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:TouchableOpacity,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,ProgressSlider,apps/mobile/components/books/ProgressSlider.tsx,ProgressSlider,function_declaration,11,54,44,3,0,0,O(1) (estimated),O(n) (estimated),low,3.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,ProgressSlider,apps/mobile/components/books/ProgressSlider.tsx,handleSubmit,arrow_function,16,20,5,2,0,0,O(1) (estimated),O(1) (estimated),low,2.2,,onBlur:TextInput,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,ProgressSlider,apps/mobile/components/books/ProgressSlider.tsx,inline_L45,arrow_function,45,45,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:Pressable,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,ShelfTabs,apps/mobile/components/books/ShelfTabs.tsx,ShelfTabs,function_declaration,12,46,35,3,0,1,O(n) (estimated),O(n) (estimated),low,7.05,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,ShelfTabs,apps/mobile/components/books/ShelfTabs.tsx,inline_L21,arrow_function,21,21,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:Pressable,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,component,ShelfTabs,apps/mobile/components/books/ShelfTabs.tsx,inline_L30,arrow_function,30,43,14,4,0,0,O(1) (estimated),O(n) (estimated),low,3.4,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,component,ShelfTabs,apps/mobile/components/books/ShelfTabs.tsx,inline_L34,arrow_function,34,34,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,onPress:Pressable,Stabilize UI handlers with memoization (for example useCallback) when passed to children.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/_layout.tsx,RootLayout,function_declaration,41,91,51,1,0,0,O(1) (estimated),O(n) (estimated),low,3.15,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/_layout.tsx,inline_L42,arrow_function,42,61,20,2,1,1,O(n) (estimated),O(n) to O(n^2) (estimated),medium,10.1,allocation inside loop,,Lift allocations out of loops and reuse buffers to reduce GC pressure.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,TabIcon,function_declaration,8,14,7,2,0,0,O(1) (estimated),O(n) (estimated),low,2.7,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,BooksLayout,function_declaration,16,90,75,1,0,0,O(1) (estimated),O(n) (estimated),low,3.15,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,headerLeft,arrow_function,36,36,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,tabBarIcon,arrow_function,43,43,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,tabBarIcon,arrow_function,50,50,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,tabBarIcon,arrow_function,57,57,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,tabBarIcon,arrow_function,64,64,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,tabBarIcon,arrow_function,71,71,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
apps/mobile,MyLife Hub Mobile,file,_layout,apps/mobile/app/(books)/_layout.tsx,tabBarIcon,arrow_function,78,78,1,1,0,0,O(1) (estimated),O(1) (estimated),low,1.85,,,Profile this function in production-like workloads and optimize only if it appears in a hot path.
